DENV inhibitors RdRp_登革熱病毒抑制物_3738,,,
Molecule ChEMBL ID,Smiles,Standard Value,標籤小於等於10000為1；反之為0
CHEMBL1643,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,11900.0,
CHEMBL1313428,N=C(NOC(=O)c1ccc(Cl)cc1Cl)c1ccccn1,3113.0,
CHEMBL1359762,COc1cccc(CC2(CO)CCCN(Cc3[nH]c4ccc(C)cc4c3C)C2)c1,112219.0,
CHEMBL1420074,CC1CCCCN1S(=O)(=O)c1ccc(S(=O)(=O)N(CC(=O)Nc2ccccc2)Cc2cccs2)cc1,112219.0,
CHEMBL1372420,Cc1ccc(NC(=O)CC2C(=O)NC3CCCCC3N2C(=O)c2ccc(F)cc2)cc1C,112219.0,
CHEMBL1557678,COC(=O)c1ccc(/C=C/c2nc(O)c3ccccc3n2)cc1,7018.0,
CHEMBL1342574,Cc1ccc(NN2C(=O)C=C(c3ccccc3)C2=O)cc1,5059.0,
CHEMBL1361529,CC1=CS/C(=C(/C#N)C(=O)N2CCOCC2)N1c1ccccc1,112219.0,
CHEMBL1578636,O=C(COC(=O)c1sc2ccccc2c1Cl)NC1CCCCC1,112219.0,
CHEMBL1597122,CCc1ccc(-c2cc(C)no2)cc1S(=O)(=O)NCCN1CCC(C)CC1,112219.0,
CHEMBL1452409,Clc1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,1049.0,
CHEMBL1579322,Cc1cc(=O)oc2cc(OCCSCCN3CCOCC3)ccc12,112219.0,
CHEMBL606180,COc1cc(NS(=O)(=O)c2ccc(NC(=O)/C=C/c3cccc4ccccc34)cc2)nc(OC)n1,100000.0,
CHEMBL597964,Cc1cc(/C=N\NC(=O)Nc2ccccc2)c(C)n1-c1cc(C(=O)O)cc(C(=O)O)c1,100000.0,
CHEMBL599616,O=C(O)COc1ccc(Br)cc1/C=C1\CC/C(=C\c2cc(Br)ccc2OCC(=O)O)C1=O,100000.0,
CHEMBL599616,O=C(O)COc1ccc(Br)cc1/C=C1\CC/C(=C\c2cc(Br)ccc2OCC(=O)O)C1=O,2810.0,
CHEMBL1409488,Cc1ccccc1Nc1nc(N)c2ccccc2n1.Cl,3097.0,
CHEMBL1488020,CCOc1ccc(C(=O)Nc2cc(C)ccn2)cc1,2452.0,
CHEMBL1419488,COc1ccc(N2CCN(c3nc4c(c(=O)n(C)c(=O)n4C)n3Cc3ccccc3)CC2)cc1,112219.0,
CHEMBL1531806,CCOC(=O)Cc1ccc2sc(-c3ccccc3)nc2c1,2683.0,
CHEMBL1363706,CCOc1ccc(-c2ccc(SC)nn2)cc1,1743.0,
CHEMBL1521226,COc1ccc(C(=O)N2CCCC(c3nc(-c4ccc(OC)c(OC)c4)no3)C2)c(OC)c1,112219.0,
CHEMBL1463600,COc1ccccc1Nc1nc(NCc2ccco2)c2ccccc2n1.Cl,112219.0,
CHEMBL3192335,COc1ccc(C(=O)Nc2ccccc2C(=O)N/N=C/c2cccc3ccccc23)cc1,1154.0,
CHEMBL1403233,CCOC(=O)CN1C(=O)C(O)=C(C(C)=O)C1c1ccc(F)cc1,112219.0,
CHEMBL250450,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,44000.0,
CHEMBL82242,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,43600.0,
CHEMBL405639,CNC(=O)c1cccc2oc(-c3ccccc3O)nc12,700000.0,
CHEMBL1585865,COc1ccc(-c2nc(C[S+]([O-])CC(=O)NCc3ccco3)c(C)o2)cc1,27907.0,
CHEMBL1367229,Cc1cccc(-n2cnc3c(sc4nc(N5CCOCC5)c5c(c43)CCCC5)c2=O)c1,50022.0,
CHEMBL1373335,Cl.OC1CN=C2C=CC=CN2C1,112219.0,
CHEMBL1350837,CN(C(=O)CSc1nncn1C)C1CCCN(Cc2ccccc2F)C1,112219.0,
CHEMBL1390809,CCOC(=O)C1CCN(C(c2ccccn2)c2c(C)[nH]c3ccccc23)CC1,16533.0,
CHEMBL1405699,COc1ccccc1NC(=O)c1cc([N+](=O)[O-])ccc1N1CCOCC1,112219.0,
CHEMBL1554779,Cc1ccc(NS(=O)(=O)c2cccc(C(=O)N3CCCCCCC3)c2)cc1,112219.0,
CHEMBL1590193,O=C(Nc1ccc(-c2nnc(S)o2)cc1)c1cccc(Br)c1,112219.0,
CHEMBL191015,Cc1ccc(-c2noc(-c3cccs3)n2)cc1,112219.0,
CHEMBL1359246,CCCCC(=O)N(c1ccc(C(=O)O)cc1)c1nc(-c2ccc(Cl)cc2)c(CC)s1,112219.0,
